rep,k,n_lambda,mu,sigma,min_size,filename,maxima,maxvals,loc,scale,shape,gev_max
1,20,30,100,34,10,rep1_k20_lambda30_mu100,,,161.34405454899812,17.391933066517225,-0.3762086487835321,194.24861052559106
1,100,200,100,34,10,rep1_k100_lambda200_mu100,,,190.99936140552256,12.717315494847307,-0.0558653792185523,247.7979427142962
2,20,30,100,34,10,rep2_k20_lambda30_mu100,,,160.24458785496222,15.131016696221982,-0.1662385458489882,199.93736543091185
2,100,200,100,34,10,rep2_k100_lambda200_mu100,,,186.14804173629216,12.070656092925157,-0.036999721339348764,242.8148303671861
3,20,10000,100,34,10,rep3_k20_lambda10000_mu100,,,230.1714605330633,11.94748052567298,-0.027874397388116662,270.50812797851205
4,5,10000,100,34,10,rep4_k5_lambda10000_mu100,,,236.59552934977435,10.221001366724487,-0.0678623141034469,256.88404436211613
4,30,50,100,34,10,rep4_k30_lambda50_mu100,,,169.06136535283642,11.856851801987787,-0.22655796485379176,199.3073964976951
5,5,200,100,34,10,rep5_k5_lambda200_mu100,,,183.27868888839035,10.334965720790954,0.4126474515495849,232.23068383168766
5,30,50,100,34,10,rep5_k30_lambda50_mu100,,,171.2624791206059,16.212763114597124,0.026704377977755656,239.51108989180477
6,10,50,100,34,10,rep6_k10_lambda50_mu100,,,160.52280385146713,12.244888479159423,-0.08347849526545241,191.21455816833634
6,30,2000,100,34,10,rep6_k30_lambda2000_mu100,,,214.23180787456846,10.87926482657154,-0.23682879075967173,241.4994580133573
7,5,10000,100,34,10,rep7_k5_lambda10000_mu100,,,226.6673445109635,7.085737803303801,0.34710527010930076,255.47387185778803
7,30,50,100,34,10,rep7_k30_lambda50_mu100,,,172.29878811468683,14.392939552306588,-0.17156996456653223,212.85246725914502
8,5,200,100,34,10,rep8_k5_lambda200_mu100,,,198.30928379424265,13.505090218616669,-0.9933039262900195,209.1652072276314
8,30,50,100,34,10,rep8_k30_lambda50_mu100,,,171.83319049952422,9.830733059643613,-0.04482231120886152,207.29463468006603
9,5,200,100,34,10,rep9_k5_lambda200_mu100,,,183.38382074049127,17.481798396515163,-0.17394906972305454,213.60658949556677
9,20,10000,100,34,10,rep9_k20_lambda10000_mu100,,,225.93404437474382,8.408067697258904,0.06383029694884469,260.25217299425447
10,10,50,100,34,10,rep10_k10_lambda50_mu100,,,172.09553735651033,10.328714925917303,0.19371852611644572,215.16030035625354
10,30,2000,100,34,10,rep10_k30_lambda2000_mu100,,,212.9942089596432,11.11226392178533,-0.0827920494202281,250.14396989403485
