rep,k,n_lambda,mu,sigma,min_size,filename,maxima,maxvals,loc,scale,shape,loc_se,scale_se,shape_se
8,5,30,20,6.8,10,rep8_k5_lambda30_mu20,,,NA,NA,NA,NA,NA,NA
8,5,200,20,6.8,10,rep8_k5_lambda200_mu20,,,NA,NA,NA,NA,NA,NA
8,5,10000,20,6.8,10,rep8_k5_lambda10000_mu20,,,45.5054631895655,0.5375664263580481,0.8542793130529709,0.3517941718469281,0.38538849156362287,0.9709005695996795
8,10,50,20,6.8,10,rep8_k10_lambda50_mu20,,,36.01853654519353,2.7507286116564855,-0.37540716947826186,0.9721716919846144,0.7031265075905329,0.24847935264784524
8,10,2000,20,6.8,10,rep8_k10_lambda2000_mu20,,,NA,NA,NA,NA,NA,NA
8,20,30,20,6.8,10,rep8_k20_lambda30_mu20,,,31.834238397591307,3.943745734418105,-0.21095155100205779,1.0118986723746164,0.7451048549943013,0.19341752926880643
8,20,200,20,6.8,10,rep8_k20_lambda200_mu20,,,37.096480766422104,2.752823468560363,-0.1969034066249342,0.6904228015563193,0.4869498614726958,0.16495277665947447
8,20,10000,20,6.8,10,rep8_k20_lambda10000_mu20,,,45.5484140773823,1.5921583601736127,-0.004219149903322027,0.41340021514866926,0.3073484641551474,0.20210226160757908
8,30,50,20,6.8,10,rep8_k30_lambda50_mu20,,,34.60456597056274,2.8040188925431426,-0.06419110188434678,0.5738755830649335,0.4080560180722806,0.13181060890672494
8,30,2000,20,6.8,10,rep8_k30_lambda2000_mu20,,,42.67338524796131,1.5930583347064091,0.1696147390728461,0.3360941640271567,0.2660886922964345,0.16887333347583838
8,100,30,20,6.8,10,rep8_k100_lambda30_mu20,,,32.58919495665516,3.183923808421235,-0.09718307978853567,0.35344802468680236,0.24799155490743188,0.06495083913291923
8,100,200,20,6.8,10,rep8_k100_lambda200_mu20,,,37.601391804797494,2.553584707417909,-0.04112717346838964,0.2823600631558739,0.19925193834301022,0.06173203128490581
8,100,10000,20,6.8,10,rep8_k100_lambda10000_mu20,,,45.72521513894928,1.9732861240193194,-0.14617820026326822,0.2277032830847728,0.1681292037805994,0.08767045673956834
9,3,50,20,6.8,10,rep9_k3_lambda50_mu20,,,NA,NA,NA,NA,NA,NA
9,3,2000,20,6.8,10,rep9_k3_lambda2000_mu20,,,NA,NA,NA,NA,NA,NA
9,5,30,20,6.8,10,rep9_k5_lambda30_mu20,,,NA,NA,NA,NA,NA,NA
9,5,200,20,6.8,10,rep9_k5_lambda200_mu20,,,39.37001598749305,1.717753143399133,0.0018515704575766123,0.884541577575653,0.650035748312219,0.3894868040600668
9,5,10000,20,6.8,10,rep9_k5_lambda10000_mu20,,,NA,NA,NA,NA,NA,NA
9,10,50,20,6.8,10,rep9_k10_lambda50_mu20,,,NA,NA,NA,NA,NA,NA
9,10,2000,20,6.8,10,rep9_k10_lambda2000_mu20,,,42.056270525645914,1.9836010651201235,0.028582311065363145,0.7891444662190734,0.6195510985413586,0.4033615205350481
9,20,30,20,6.8,10,rep9_k20_lambda30_mu20,,,32.05611164827642,3.0867532460068356,-0.05440462053519774,0.7734844351468898,0.5479766329000746,0.15842371033676056
9,20,200,20,6.8,10,rep9_k20_lambda200_mu20,,,37.34034845888401,1.9367267159014487,0.5435372427741043,0.5908115250864319,0.5696211254203302,0.3838610648124955
9,20,10000,20,6.8,10,rep9_k20_lambda10000_mu20,,,44.984463892539694,1.5376372056392489,-0.08624045471596765,0.38393341309419615,0.27001024754886194,0.15444344618884134
