filename,k,loc,scale,shape,gev_max
rep52_k5_lambda30_mu50,5,84.83153043256758,4.322008890306323,-0.13866068082055066,91.06601990364018
rep52_k5_lambda50_mu50,5,93.11493249771071,13.667857761538205,-1.1270711383249197,103.26502517609431
rep52_k5_lambda200_mu20,5,38.44240084104266,1.0726543051944977,0.5178560526331796,41.13775032230529
rep52_k5_lambda2000_mu20,5,42.692739283654575,1.4328846680933354,0.16958857745922312,45.344298733398084
rep52_k5_lambda2000_mu50,5,110.10884054410128,5.515895386413306,-0.0804853718405003,118.43539665534662
rep52_k5_lambda10000_mu100,5,222.92427614535484,4.354258064674294,-0.33476496867927746,228.34220548499886
rep52_k10_lambda30_mu20,10,32.43935146511098,2.8235914691538455,-0.4011585285780678,36.68329489654605
rep52_k10_lambda30_mu50,10,81.53303775547813,6.090610388692117,-0.11414885497224594,93.86554755819056
rep52_k10_lambda30_mu100,10,158.00784563476137,7.0818698794263435,-0.11127866845171816,172.39290572675486
rep52_k10_lambda50_mu20,10,35.20856598563582,2.0635635020250525,-0.3490945174860138,38.47381266940015
rep52_k10_lambda50_mu50,10,89.7208078002805,6.209410365657958,-0.38846647278251195,99.17045489443481
rep52_k10_lambda50_mu100,10,177.5091682563616,17.8509192338872,-1.0249875160204018,193.28071190179097
rep52_k10_lambda200_mu20,10,36.77744342820621,1.2134647575495938,0.9126250084992601,46.32106213706601
rep52_k10_lambda200_mu50,10,96.25163944355768,7.255836263235028,-0.9999381507945944,102.78219265005424
rep52_k10_lambda200_mu100,10,180.7843789512984,5.7934156585286605,0.4943242750775521,205.64479015953393
rep52_k10_lambda2000_mu20,10,42.02035181102709,1.001556119761576,-0.195733248285956,43.87684686927457
rep52_k10_lambda2000_mu50,10,103.71766096121529,4.592691418675111,-0.03154735955771913,113.91776860537574
rep52_k10_lambda2000_mu100,10,215.2456108269525,5.49671728579568,-0.10167658477125886,226.52984771931307
rep52_k10_lambda10000_mu20,10,45.52242481201836,0.9021164246756787,0.31591454191079915,48.57712637684517
rep52_k10_lambda10000_mu50,10,113.38410963742183,4.409072149263069,0.12239284141012483,125.11134287122451
rep52_k10_lambda10000_mu100,10,226.59147935432932,5.757838787309596,-0.009405428930762875,239.70686189515362
rep52_k20_lambda30_mu20,20,32.10598234128138,3.074339874766991,0.034730875759170346,41.81205869223228
rep52_k20_lambda30_mu50,20,80.76569609660083,8.023410692533073,0.09591662882318062,108.61089061290838
rep52_k20_lambda30_mu100,20,165.7894659331954,17.757812611851076,-0.2938071474053058,201.16440326761835
rep52_k20_lambda50_mu20,20,34.70130734033845,3.1202163997306442,-0.48947524256656233,39.60485719448268
rep52_k20_lambda50_mu50,20,83.78487496836391,7.1072729595982125,-0.015488030593930769,104.58997231374269
rep52_k20_lambda50_mu100,20,165.57585031519952,8.73526349924499,-0.01551225885193518,191.1456383665792
rep52_k20_lambda200_mu20,20,37.7657370337703,1.60725179414462,-0.04772855474314156,42.252247212720704
rep52_k20_lambda200_mu50,20,93.52048560144087,6.841883364239744,-0.21464296235883087,108.63890869818741
rep52_k20_lambda200_mu100,20,187.83147934941553,12.032078861976903,0.11621475117692272,230.94705742298652
rep52_k20_lambda2000_mu20,20,43.376435254708724,1.5602944942265389,0.07396494353060211,48.608980132467316
rep52_k20_lambda2000_mu50,20,104.30226989531673,4.8904546216922435,0.17092289524459606,123.43487890466575
rep52_k20_lambda2000_mu100,20,210.9858990802847,7.454321484689472,-0.13704251051023503,229.30096831883944
rep52_k20_lambda10000_mu20,20,45.51354990897746,1.7372892002696192,-0.13742549667376108,49.77974243585014
rep52_k20_lambda10000_mu50,20,111.11989384934603,2.2162077557204416,0.5495946113872335,128.00964000357354
rep52_k20_lambda10000_mu100,20,223.70102995772868,7.858203376357451,-0.11976496523207575,243.48184735425681
rep52_k30_lambda30_mu20,30,33.57611253935979,2.8559726794369658,-0.28009162309841434,39.839672122503636
rep52_k30_lambda30_mu50,30,81.21525366102206,6.006372023621362,-0.14420408293647513,97.36199711386365
rep52_k30_lambda30_mu100,30,161.08580324399398,18.61510827131375,-0.29110345592849424,201.27378973668675
rep52_k30_lambda50_mu20,30,35.094193790578835,3.127507707355552,-0.11963499320121196,43.83324903274512
rep52_k30_lambda50_mu50,30,84.18154157693857,6.783965370731838,-0.03598025025058351,105.89919137801496
rep52_k30_lambda50_mu100,30,166.90688947954015,14.412994792582635,0.09916649459252207,225.20885027615097
rep52_k30_lambda200_mu20,30,37.26439397147944,2.941934887679223,-0.19090168575861227,44.6243395142403
rep52_k30_lambda200_mu50,30,93.40150227638968,5.368807982410807,-0.12780952499011805,108.2106055048185
rep52_k30_lambda200_mu100,30,189.19412680571492,12.815785463447048,-0.14460533110049303,223.6248195619437
rep52_k30_lambda2000_mu20,30,42.748602827794116,2.05787239913266,-0.1833557530701346,47.95630201135685
rep52_k30_lambda2000_mu50,30,107.30044818283613,5.688351818644711,-0.26376100856311085,120.07311507047537
rep52_k30_lambda2000_mu100,30,215.06171733227305,11.191945266670139,-0.5125366522789411,233.07775896101043
rep52_k30_lambda10000_mu20,30,45.63456859553021,1.579963688045716,-0.2713876407640764,49.143317663317426
rep52_k30_lambda10000_mu50,30,113.82762706880926,4.417703357381211,-0.07107889986671469,127.17480305442766
rep52_k30_lambda10000_mu100,30,226.45026495148286,8.4002627027069,-0.23899558990917355,246.0073289866214
rep52_k100_lambda30_mu20,100,32.754609803565494,3.5329637257465722,-0.17528912564923615,43.91871717246909
rep52_k100_lambda30_mu50,100,81.24451184084622,7.258301438818026,-0.07412761010590355,109.56232927901605
rep52_k100_lambda30_mu100,100,164.30420775838277,18.066788028250375,-0.21677632104356237,216.93461196738403
rep52_k100_lambda50_mu20,100,33.88284050790169,2.975053204430713,-0.1501959405710814,43.772184706764996
rep52_k100_lambda50_mu50,100,86.03655842544505,8.064209700716313,-0.28771503144815364,106.61479826726398
rep52_k100_lambda50_mu100,100,167.6471260359801,13.71531431515616,-0.1090296618571022,217.30341109036323
rep52_k100_lambda200_mu20,100,37.52376301660946,2.545975138387536,-0.13679707137854216,46.2225904702821
rep52_k100_lambda200_mu50,100,94.12209399712061,5.312528242232835,-0.012176718110956615,117.91388401914799
rep52_k100_lambda200_mu100,100,187.22575988958764,10.587336247817007,-0.06016759485144205,229.81042025365014
rep52_k100_lambda2000_mu20,100,42.31259945087215,1.7804597129220379,-0.09868436699611059,48.90167344687561
rep52_k100_lambda2000_mu50,100,106.27793630788425,4.888002205799806,-0.1151947980552434,123.74672854648439
rep52_k100_lambda2000_mu100,100,211.0640860149357,9.950250959759481,-0.13936058779292596,244.88200991016672
rep52_k100_lambda10000_mu20,100,45.24000597975427,1.6197619015153175,-0.07364146617730673,51.56608460259006
rep52_k100_lambda10000_mu50,100,113.48139192418017,4.5038775665164685,-0.12362272813460844,129.2960089499555
rep52_k100_lambda10000_mu100,100,225.01623035688803,8.278840752811247,0.04332548647559488,267.2112140845078
rep53_k3_lambda200_mu20,3,36.411645336051386,0.029661314458362693,1.998210072341245,36.53013442331607
rep53_k3_lambda200_mu100,3,184.03162686238215,6.782517141195443,-1.2241087032628781,188.1285551099763
rep53_k5_lambda30_mu20,5,34.453594292721135,0.7736684843933871,0.773430748680597,36.92655548067414
rep53_k5_lambda50_mu20,5,35.621635359808835,1.0935322470327855,0.06994194586635306,37.48448908689436
rep53_k5_lambda50_mu50,5,82.2729681479519,4.526425895412633,0.30660445095119004,91.69144634617464
