filename,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,rep,k,n_lambda,mu,sigma,min_size
rep4_k3_lambda10000_mu50,lp__,253.1913655,253.532,1.26806575484058,0.987411599999995,250.651,254.53205,1.00174688420796,1276.39369034167,1848.35598313851,4,3,10000,50,17,10
rep4_k3_lambda10000_mu50,mu,64.6338223,65.26135,10.263338842917,10.08301434,46.877075,80.718035,1.00389889809808,1230.45284541558,1244.5565464987,4,3,10000,50,17,10
rep4_k3_lambda10000_mu50,sigma,18.6960988,18.56435,3.32529951314413,3.32762157,13.417015,24.310835,1.00386745223664,1225.64412755267,1239.76246133876,4,3,10000,50,17,10
rep4_k3_lambda10000_mu50,lambda,505.02718425,502.335,69.5316651915074,67.9082691000001,396.3123,624.5782,1.0006622272657,1682.70692845346,1319.71008522981,4,3,10000,50,17,10
rep4_k3_lambda200_mu100,lp__,240.98322725,241.317,1.26075598175016,0.988894200000002,238.53885,242.33505,1.0022708186213,1352.25033246227,1462.69689993582,4,3,200,100,34,10
rep4_k3_lambda200_mu100,mu,100.191901975,100.5525,12.3948024758038,12.1121007,78.82757,120.03585,1.00478802654053,1197.13792056119,1312.66088649703,4,3,200,100,34,10
rep4_k3_lambda200_mu100,sigma,27.36184245,27.3233,3.54709592937322,3.5567574,21.648385,33.267425,1.00589003167415,1224.24685800758,1219.32820497549,4,3,200,100,34,10
rep4_k3_lambda200_mu100,lambda,507.82229425,504.524,68.7332367136923,68.6821863,400.69865,627.4992,1.00191436505986,2078.5883765297,1948.52379030726,4,3,200,100,34,10
rep4_k3_lambda200_mu20,lp__,258.3558045,258.774,1.46587518544198,1.19942340000004,255.37775,259.931,1.02658289155819,260.908805392217,486.464578493906,4,3,200,20,6.8,10
rep4_k3_lambda200_mu20,mu,19.5022621795,20.5024,7.36354603495202,8.10663441,5.615582,29.248245,1.02968320713128,134.828356390381,125.94022418166,4,3,200,20,6.8,10
rep4_k3_lambda200_mu20,sigma,6.9909849,6.64578,2.54645415206357,2.756086683,3.5689185,11.712955,1.0310845080745,129.067317718252,144.410776620263,4,3,200,20,6.8,10
rep4_k3_lambda200_mu20,lambda,503.19845825,504.4845,68.3334165545289,67.4345784,392.278,616.5011,1.0169536457107,688.955955623351,577.048320188963,4,3,200,20,6.8,10
rep4_k3_lambda200_mu50,lp__,253.4963815,253.826,1.30044658128869,1.0459743,250.9307,254.892,1.00362643197029,1136.00148978882,1413.12817543362,4,3,200,50,17,10
rep4_k3_lambda200_mu50,mu,39.7134258525,40.29775,8.79518024033414,8.8741023,24.73101,53.24983,1.00440299360922,1148.70085931111,1201.4416869679,4,3,200,50,17,10
rep4_k3_lambda200_mu50,sigma,17.566594805,17.41285,3.01354081035154,3.01086408,12.8189,22.806765,1.003858367531,1155.48705388719,1192.98413785672,4,3,200,50,17,10
rep4_k3_lambda200_mu50,lambda,498.703292,495.0805,69.4395971534862,68.5517175,389.41225,618.2358,1.00157073402267,1876.37973686898,1724.70763479255,4,3,200,50,17,10
rep4_k3_lambda2000_mu100,lp__,236.77940875,237.105,1.2410695734305,1.0096506,234.3455,238.132,1.00063125469078,1516.50746402502,1941.02271239569,4,3,2000,100,34,10
rep4_k3_lambda2000_mu100,mu,119.242676725,119.9605,14.2564624642,14.1669843,94.56239,141.83185,1.00108397169742,1343.50764493195,1258.04584530746,4,3,2000,100,34,10
